equipo,ch,cla
Defensa y Justicia,0.019,0.145
Estudiantes,0.015,0.178
Unión de Santa Fe,0.004,0.071
Huracán,0.012,0.07
Lanús,0.016,0.121
Racing Club,0.127,0.476
San Lorenzo,0.057,0.291
Godoy Cruz,0.011,0.11
Colón de Santa Fe,0.005,0.056
Boca Juniors,0.42,0.817
Rosario Central,0.01,0.109
Vélez Sarsfield,0.004,0.048
Newell's Old Boys,0.004,0.048
Gimnasia de La Plata,0.0,0.017
Independiente,0.1,0.429
River Plate,0.127,0.508
Banfield,0.012,0.098
Aldosivi,0.0,0.003
Arsenal de Sarandí,0.0,0.0
Patronato de Paraná,0.001,0.015
Argentinos Juniors,0.0,0.007
Atlético Tucumán,0.018,0.119
Talleres de Córdoba,0.037,0.23
Central Córdoba SdE,0.001,0.034
