equipo,ch,ucl,uel,rel
Defensa y Justicia,0.018,0.136,0.135,0.13
Estudiantes,0.032,0.18,0.141,0.13
Unión de Santa Fe,0.004,0.065,0.066,0.292
Huracán,0.008,0.057,0.056,0.283
Lanús,0.01,0.125,0.103,0.157
Racing Club,0.143,0.529,0.143,0.023
San Lorenzo,0.041,0.277,0.142,0.061
Godoy Cruz,0.008,0.115,0.109,0.18
Colón de Santa Fe,0.004,0.032,0.051,0.38
Boca Juniors,0.418,0.806,0.087,0.001
Rosario Central,0.017,0.105,0.116,0.187
Vélez Sarsfield,0.005,0.043,0.044,0.398
Newell's Old Boys,0.004,0.052,0.064,0.322
Gimnasia de La Plata,0.001,0.014,0.027,0.554
Independiente,0.103,0.448,0.159,0.03
River Plate,0.13,0.505,0.161,0.021
Banfield,0.005,0.087,0.085,0.251
Aldosivi,0.0,0.0,0.003,0.796
Arsenal de Sarandí,0.0,0.0,0.003,0.855
Patronato de Paraná,0.0,0.012,0.023,0.568
Argentinos Juniors,0.0,0.007,0.005,0.708
Atlético Tucumán,0.01,0.123,0.095,0.18
Talleres de Córdoba,0.035,0.237,0.141,0.078
Central Córdoba SdE,0.004,0.045,0.041,0.415
